Ticker,Last,Change %,Change,High,Low,Volume,Rating,Exchange,"Stochastic %D (14, 3, 3)","Stochastic %K (14, 3, 3)",Donchian Channels Upper Band (20),Donchian Channels Lower Band (20),Change from Open,Change from Open %,"Change 5m, %","Change 1m, %","Change 4h, %","Change 15m, %","Change 1h, %",Awesome Oscillator,"Ichimoku Cloud Base Line (9, 26, 52, 26)","Ichimoku Cloud Conversion Line (9, 26, 52, 26)","Ultimate Oscillator (7, 14, 28)","Stochastic RSI Fast (3, 3, 14, 14)","Stochastic RSI Slow (3, 3, 14, 14)",Simple Moving Average (5),Simple Moving Average (50),Simple Moving Average (30),Momentum (10),Aroon Down (14),Aroon Up (14),Exponential Moving Average (5)
18CBTC,2.2e-7,0,0,2.2e-7,2.2e-7,38772.9,Buy,HUOBI,29.57956624,31.8572795,2.3e-7,2.2e-7,0,0,0,-0.31319911,1.92131747,0,-0.31319911,0,2.3e-7,2.2e-7,89.7763464,95.51933059,85.865555,2.2e-7,2.2e-7,2.2e-7,0,0,21.42857143,2.2e-7
18CETH,0.00000662,0,0,0.00000663,0.00000662,10241.74,Sell,HUOBI,30.31746032,30.63492063,0.0000068,0.00000656,0,0,0,-0.15082956,1.22324159,-0.15082956,-0.74962519,-7e-8,0.00000673,0.00000665,48.13814352,42.22708133,39.5363034,0.00000662,0.00000665,0.0000067,1e-8,28.57142857,0,0.00000662
1STBTC,0.00001542,37.30254839,0.00000419,0.00001542,0.00001542,1,Strong Buy,HITBTC,64.60845425,60.899345,0.00001669,0.00001001,0,0,37.30254839,37.30254839,-1.09044959,37.30254839,-1.09044959,5.5e-7,0.00001335,0.00001354,50.29408197,69.7521606,72.938097,0.00001394,0.0000139,0.0000134,0.00000491,7.14285714,78.57142857,0.000014
1STETH,0.00030006,-0.13213249,-4e-7,0.00030006,0.00030006,2,Sell,HITBTC,32.10762766,0,0.00067745,0.00030006,0,0,-0.13213249,-0.13213249,-0.13213249,-0.13213249,-0.13213249,-0.00002613,0.00048875,0.00039518,26.30811248,0,30.91130913,0.00037439,0.00043204,0.00039826,-0.00011486,100,78.57142857,0.00035301
1STUSD,0.17665654,0.04392488,0.00007756,0.17665654,0.17658669,2.7245223,Strong Buy,HITBTC,77.3013018,76.94109635,0.17673765,0.1761298,0.00006985,0.03955686,0.04392488,0.03955686,0.24868787,0.07355009,0.26088273,0.00007401,0.17643372,0.17655947,47.19244829,94.87147327,94.95254512,0.17657861,0.1765108,0.17643548,0.00028835,7.14285714,92.85714286,0.17657994
4ARTBTC,0.00000206,-1.9047619,-4e-8,0.00000206,0.00000206,1499.289,Sell,BITTREX,58.08080808,62.12121212,0.0000021,0.00000199,0,0,-1.9047619,-1.9047619,-1.9047619,-1.9047619,-1.9047619,-1e-8,0.00000206,0.00000206,47.10276548,61.45292887,57.13686546,0.00000206,0.00000208,0.00000207,-4e-8,0,28.57142857,0.00000207
4ARTUSD,0.02360018,0.04392488,0.00001036,0.02360018,0.02359085,2999.3025223,Buy,BITTREX,77.3013018,76.94109635,0.02361102,0.02352981,0.00000933,0.03955686,0.04392488,0.03955686,0.24868787,0.07355009,0.26088273,0.00000989,0.02357042,0.02358722,47.19244829,94.89924261,94.97571697,0.02358977,0.02358071,0.02357065,0.00003852,7.14285714,92.85714286,0.02358995
4ARTUSDT,0.02357,1.85825411,0.00043,0.02357,0.02357,583.70656189,Buy,BITTREX,33.10366331,17.60311448,0.02413,0.02314,0,0,1.85825411,1.85825411,-1.2154233,1.85825411,1.85825411,0.00023162,0.023385,0.02357,46.59013235,10.39135425,19.58421363,0.023566,0.0231094,0.023408,-0.00056,92.85714286,28.57142857,0.02351741
AABUSDT,0.400006,1.93832824,0.007606,0.400006,0.400006,3,Sell,HITBTC,57.57944017,42.59212836,0.989999,0.160269,0,0,1.93832824,1.93832824,1.93832824,1.93832824,1.93832824,0.01485794,0.6751345,0.6237,26.05287931,49.21942508,62.76477852,0.6248612,0.5902346,0.60833793,-0.589993,7.14285714,28.57142857,0.56694564
AACBTC,0.00000121,0.0331675,0,0.00000121,0.0000012,1643.16,Sell,HUOBI,49.98008761,48.02867384,0.00000122,0.00000119,-1e-8,-0.4620462,0.0331675,-0.43848763,0.60878993,0.11618257,0.88643586,0,0.0000012,0.00000121,38.99156396,39.774503,42.39854673,0.00000121,0.0000012,0.0000012,-1e-8,14.28571429,35.71428571,0.00000121
